,credit_risk,status,duration,credit_history,purpose,amount,savings,employment_duration,installment_rate,personal_status_sex,present_residence,property,age,number_credits,telephone
0,1,-1.254565649,-0.217439615,1.344014083,-0.234588081,-1.103855857,-0.740466171,-1.145978112,0.918477168,-0.963649862,1.046986678,-0.3410551,-1.304413072,-0.736573045,-0.823317891
1,1,-1.254565649,-1.065708595,1.344014083,-1.230715815,0.231564515,-0.740466171,-0.317959245,-0.870183334,0.449326475,-0.765977267,-1.293722976,0.049695795,1.138296382,-0.823317891
2,1,-0.45902624,-0.782952268,-0.503427956,1.757667386,-1.404432793,0.168067203,0.510059622,-0.870183334,-0.963649862,1.046986678,-1.293722976,-1.123865223,-0.736573045,-0.823317891
3,1,-1.254565649,-0.782952268,1.344014083,-1.230715815,-0.145290051,-0.740466171,-0.317959245,0.024146917,0.449326475,-0.765977267,-1.293722976,0.320517569,1.138296382,-0.823317891
4,1,-1.254565649,-0.782952268,1.344014083,-1.230715815,-0.114222549,-0.740466171,-0.317959245,0.918477168,0.449326475,1.046986678,-0.3410551,0.230243644,1.138296382,-0.823317891
5,1,-1.254565649,-0.971456486,1.344014083,-1.230715815,-0.071035184,-0.740466171,-1.145978112,-1.764513585,0.449326475,0.140504706,-1.293722976,1.132982889,1.138296382,-0.823317891
6,1,-1.254565649,-1.159960704,1.344014083,-1.230715815,0.495511647,-0.740466171,0.510059622,-1.764513585,0.449326475,1.046986678,-1.293722976,0.320517569,1.138296382,-0.823317891
7,1,-1.254565649,-1.348464922,1.344014083,-1.230715815,-0.74963685,-0.740466171,-1.145978112,-0.870183334,0.449326475,1.046986678,-1.293722976,0.410791493,-0.736573045,-0.823317891
8,1,1.13205258,-0.217439615,1.344014083,0.263475785,-1.041756153,-0.740466171,-1.973996978,0.918477168,-0.963649862,1.046986678,0.611612776,2.622502643,1.138296382,-0.823317891
9,1,-0.45902624,0.348073038,-0.503427956,0.263475785,0.632578349,0.81268189,-1.973996978,-1.764513585,-0.963649862,1.046986678,1.564280653,-1.123865223,-0.736573045,-0.823317891
10,1,-1.254565649,-0.877204377,1.344014083,-1.230715815,0.684807505,-0.740466171,-0.317959245,-0.870183334,0.449326475,-0.765977267,-1.293722976,0.049695795,1.138296382,-0.823317891
11,1,-1.254565649,0.913585691,1.344014083,-0.732651948,1.311241081,0.168067203,0.510059622,-1.764513585,1.862302812,1.046986678,0.611612776,-1.033591298,1.138296382,-0.823317891
12,1,-1.254565649,-1.348464922,1.344014083,0.263475785,-0.2554462,-0.740466171,0.510059622,-1.764513585,-0.963649862,1.046986678,0.611612776,-0.401673827,-0.736573045,-0.823317891
